OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
57128,,071000080504,,Indian Creek-North Raccoon River,Hay Branch-Clanton Creek,,,Leland,Leland city,,
57129,,071000081401,,Indian Creek,Wolf Creek,,,Lake Mills,Lake Mills city,,
57131,,070801070710,,South Fork Catfish Creek,Cedar Creek,,,Buffalo Center,Buffalo Center city,,
57132,,070801051102,,Smith Creek-Wapsipinicon River,Cherry Creek,,,Sigourney,Sigourney city,,
57133,,070802081001,,Deep Creek,Hilton Creek,,,Richland,Richland city,,
57134,,071000080505,,Honey Creek,Clanton Creek,,,Ollie,Ollie city,,
57135,,071000081102,,McFarlane State Park-Cedar River,Headwaters Coal Creek,,,Martinsburg,Martinsburg city,,
57136,,071000081404,,Rock Creek,Hawk Run-White Breast Creek,,,Kinross,Kinross city,,
57137,,070802090602,,Sand Creek,Birch Creek-English River,,,Keswick,Keswick city,,
57144,,070801030601,,Prescotts Creek-Black Hawk Creek,Negro Creek-Silver Creek,,,Keota,Keota city,,
57155,,070802060403,,Headwaters West Buttrick Creek,Spring Creek-Cedar River,,,Hedrick,Hedrick city,,
57156,,070801030407,,Upper Otter Creek,Rock Creek,,,Hayesville,Hayesville city,,
57157,,070802090903,,Headwaters South River,Big Slough Creek,,,Harper,Harper city,,
57158,,070802060203,,Headwaters Lytle Creek,Big Creek,,,Gibson,Gibson city,,
57160,,070600040708,,Headwaters Elk Creek,Beaver Creek-Turkey River,,,Delta,Delta city,,
57167,,070802020602,,Honey Creek,Beemis Creek,,,Sutherland,Sutherland city,,
57168,,071000030806,,Honey Creek-Volga River,Drainage Ditch 94-East Fork Des Moines River,,,Sanborn,Sanborn city,,
57169,,070802020504,,Simpson Creek-Crane Creek,Flood Creek,,,University Heights,University Heights city,,
57171,,070802020603,,Buck Creek,Ackley Creek,,,Primghar,Primghar city,,
57172,,070802090401,,Nugents Creek-Buffalo Creek,Headwaters North English River,,,Paullina,Paullina city,,
